"No.","Time","DeltaDisplay","DeltaApplication","Source","Destination","Protocol","Len","ColorRule","Protocol","IP TTL","Stream#","SEQ","DNS TTL","DNS Retrans","QType","RType","Transaction ID","Info"
"1","0.000000","0.000000","","10.42.0.184","143.204.11.14","TCP","74","N-TCP SYN","TCP","64","0","0","","","","","","43327  >  https(443) [SYN] Seq=0 Win=65535 Len=0 MSS=1400 SACK_PERM=1 TSval=3587250 TSecr=0 WS=512"
"2","0.131283","0.131283","","143.204.11.14","10.42.0.184","TCP","74","N-TCP SYN","TCP","245","0","0","","","","","","https(443)  >  43327 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1358 SACK_PERM=1 TSval=159322379 TSecr=3587250 WS=256"
"3","0.137770","0.006487","","10.42.0.184","143.204.11.14","TCP","66","4-TCP","TCP","64","0","1","","","","","","43327  >  https(443) [ACK] Seq=1 Ack=1 Win=84480 Len=0 TSval=3587264 TSecr=159322379"
"4","0.140266","0.002496","","10.42.0.184","143.204.11.14","TLSv1.2","583","7-TLS","TCP","64","0","1","","","","","","Client Hello"
"5","0.296316","0.156050","","143.204.11.14","10.42.0.184","TCP","66","4-TCP","TCP","245","0","1","","","","","","https(443)  >  43327 [ACK] Seq=1 Ack=518 Win=30208 Len=0 TSval=159322394 TSecr=3587264"
"6","0.296436","0.000120","","143.204.11.14","10.42.0.184","TLSv1.2","1412","4-TCP","TCP","245","0","1","","","","","","Server Hello"
"7","0.296473","0.000037","","143.204.11.14","10.42.0.184","TLSv1.2","1412","4-TCP","TCP","245","0","1347","","","","","","Ignored Unknown Record"
"8","0.296497","0.000024","","143.204.11.14","10.42.0.184","TLSv1.2","1412","4-TCP","TCP","245","0","2693","","","","","","Ignored Unknown Record"
"9","0.298261","0.001764","","143.204.11.14","10.42.0.184","TCP","1412","4-TCP","TCP","245","0","4039","","","","","","https(443)  >  43327 [ACK] Seq=4039 Ack=518 Win=30208 Len=1346 TSval=159322394 TSecr=3587264"
"10","0.298289","0.000028","","143.204.11.14","10.42.0.184","TLSv1.2","490","4-TCP","TCP","245","0","5385","","","","","","Ignored Unknown Record"
